SHIPMENT_NUMBER,CARRIER_ID,VEHICLE_SIZE,VEHICLE_BUILD_UP,FIRST_COLLECTION_POST_CODE,LAST_DELIVERY_POST_CODE,FIRST_COLLECTION_LATITUDE,FIRST_COLLECTION_LONGITUDE,LAST_DELIVERY_LATITUDE,LAST_DELIVERY_LONGITUDE,FIRST_COLLECTION_SCHEDULE_EARLIEST,FIRST_COLLECTION_SCHEDULE_LATEST,LAST_DELIVERY_SCHEDULE_EARLIEST,LAST_DELIVERY_SCHEDULE_LATEST,on_time_estimation
SEZHUK-231025-256613,CAUK000349,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,UB2 4SB,53.462845,-2.896967,51.507588,-0.360871,2023-10-26 16:00:00+00:00,2023-10-26 16:01:00+00:00,2023-10-27 08:55:00+00:00,2023-10-27 09:25:00+00:00,True
SEZHUK-231025-256628,CAUK000912,3.5T Van,Box,BD5 8LZ,LE3 8DX,53.767093,-1.742286,52.641456,-1.216005,2023-10-29 00:30:00+00:00,2023-10-29 02:00:00+00:00,2023-10-29 02:30:00+00:00,2023-10-29 03:00:00+00:00,True
SEZHUK-231026-256706,CAUK001028,Tractor Unit,Curtain-Side 13.6M Trailer,SS17 9DY,IG11 0DS,51.510091,0.459598,51.515717,0.100453,2023-10-27 09:00:00+00:00,2023-10-27 09:30:00+00:00,2023-10-27 15:30:00+00:00,2023-10-27 16:00:00+00:00,True
SEZHUK-231026-256725,CAUK000689,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,RG2 0PN,53.462845,-2.896967,51.419654,-0.973301,2023-10-27 15:00:00+00:00,2023-10-27 15:01:00+00:00,2023-10-28 04:55:00+00:00,2023-10-28 05:25:00+00:00,False
SEZHUK-231026-256749,CAUK000386,Tractor Unit,Curtain-Side 13.6M Trailer,OL2 6JZ,CV2 2TA,53.562159,-2.126899,52.430911,-1.429058,2023-10-27 09:00:00+00:00,2023-10-27 10:00:00+00:00,2023-10-27 14:00:00+00:00,2023-10-27 15:00:00+00:00,False
SEZHUK-231026-256755,CAUK000363,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,EH54 8QX,53.293393,-1.074008,55.896335,-3.53565,2023-10-27 16:00:00+00:00,2023-10-27 16:59:00+00:00,2023-10-28 11:30:00+00:00,2023-10-28 12:00:00+00:00,True
SEZHUK-231026-256765,CAUK000781,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,WS8 7TS,53.462845,-2.896967,52.643767,-1.95201,2023-10-27 14:00:00+00:00,2023-10-27 14:01:00+00:00,2023-10-30 05:55:00+00:00,2023-10-30 06:25:00+00:00,True
SEZHUK-231026-256769,CAUK000029,Tractor Unit,Curtain-Side 13.6M Trailer,DN11 9HE,NN6 7TZ,53.437296,-1.068189,52.35193,-1.144734,2023-10-30 06:00:00+00:00,2023-10-30 06:59:00+00:00,2023-10-30 12:55:00+00:00,2023-10-30 13:25:00+00:00,True
SEZHUK-231026-256803,CAUK000310,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,NN8 6GR,52.800481,-1.663328,52.30156,-0.733166,2023-10-30 07:00:00+00:00,2023-10-30 07:30:00+00:00,2023-10-30 10:30:00+00:00,2023-10-30 11:00:00+00:00,True
SEZHUK-231026-256806,CAUK000155,Tractor Unit,Box,DA8 1DL,EH54 8QX,51.493182,0.167098,55.901847,-3.583873,2023-10-31 11:00:00+00:00,2023-10-31 11:30:00+00:00,2023-11-01 08:00:00+00:00,2023-11-01 08:30:00+00:00,True
SEZHUK-231026-256843,CAUK000490,Tractor Unit,Box 44ft,BD5 8LZ,EN3 7QP,53.763771,-1.739326,51.659325,-0.021793,2023-10-26 22:20:00+00:00,2023-10-27 00:00:01+00:00,2023-10-27 05:00:00+00:00,2023-10-27 07:00:01+00:00,False
SEZHUK-231026-256861,CAUK000770,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,OX16 2AA,53.293393,-1.074008,52.081463,-1.329055,2023-10-29 15:00:00+00:00,2023-10-29 15:59:00+00:00,2023-10-30 08:25:00+00:00,2023-10-30 08:55:00+00:00,False
SEZHUK-231026-256879,CAUK000899,Tractor Unit,Curtain-Side 13.6M Trailer,BD17 7EZ,RG2 0BS,53.837185,-1.780384,51.432637,-0.970833,2023-10-30 09:00:00+00:00,2023-10-30 09:30:00+00:00,2023-10-30 14:57:00+00:00,2023-10-30 15:27:00+00:00,False
SEZHUK-231026-256883,CAUK000155,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,UB6 8UH,53.462845,-2.896967,51.54329,-0.358536,2023-10-27 17:00:00+00:00,2023-10-27 17:01:00+00:00,2023-10-30 09:55:00+00:00,2023-10-30 10:25:00+00:00,True
SEZHUK-231026-256896,CAUK000199,3.5 T Van,LWB Van,LS10 1SL,LE18 4PQ,53.771668,-1.514934,52.577172,-1.131889,2023-10-27 06:00:00+00:00,2023-10-27 06:30:00+00:00,2023-10-27 09:00:00+00:00,2023-10-27 09:30:00+00:00,False
SEZHUK-231026-256940,CAUK000154,Tractor Unit,Curtain-Side 13.6M Trailer,PE29 2XR,NP16 6UD,52.315672,-0.157664,51.614678,-2.674519,2023-10-27 14:00:00+00:00,2023-10-27 14:30:00+00:00,2023-10-28 00:01:00+00:00,2023-10-28 00:31:00+00:00,False
SEZHUK-231026-256967,CAUK000096,Tractor Unit,Curtain-Side 13.6M Trailer,SK13 2NU,LE19 1WY,53.483205,-1.924197,52.601991,-1.190434,2023-10-27 10:00:00+00:00,2023-10-27 10:30:00+00:00,2023-10-27 16:30:00+00:00,2023-10-27 17:00:00+00:00,False
SEZHUK-231026-256968,CAUK000096,Tractor Unit,Curtain-Side 13.6M Trailer,OL15 8QF,LE19 1WY,53.634051,-2.1142,52.601991,-1.190434,2023-10-27 10:00:00+00:00,2023-10-27 10:30:00+00:00,2023-10-27 16:30:00+00:00,2023-10-27 17:00:00+00:00,True
SEZHUK-231026-256971,CAUK000096,Tractor Unit,Curtain-Side 13.6M Trailer,OL15 8QF,LE19 1WY,53.634051,-2.1142,52.601991,-1.190434,2023-10-27 10:00:00+00:00,2023-10-27 10:30:00+00:00,2023-10-27 16:30:00+00:00,2023-10-27 17:00:00+00:00,False
SEZHUK-231027-257016,CAUK000034,Tractor Unit,Curtain-Side 13.6M Trailer,PL7 5JY,DY9 7DP,50.38645,-4.020841,52.457769,-2.122196,2023-10-30 06:00:00+00:00,2023-10-30 06:30:00+00:00,2023-10-30 15:30:00+00:00,2023-10-30 16:00:00+00:00,True
SEZHUK-231027-257022,CAUK000034,Tractor Unit,Curtain-Side 13.6M Trailer,PE29 2XR,WA5 3TP,52.315672,-0.157664,53.411934,-2.659507,2023-10-27 00:00:00+00:00,2023-10-27 23:59:59+00:00,2023-10-29 14:55:00+00:00,2023-10-29 15:25:00+00:00,True
SEZHUK-231027-257030,CAUK000155,Tractor Unit,Box,RM9 6RS,EH54 8QX,51.530739,0.138456,55.901847,-3.583873,2023-11-02 11:00:00+00:00,2023-11-02 11:30:00+00:00,2023-11-03 08:00:00+00:00,2023-11-03 09:00:00+00:00,False
SEZHUK-231027-257043,CAUK000250,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,MITCHELSTOWN,53.293393,-1.074008,52.276579,-8.258109,2023-11-01 06:00:00+00:00,2023-11-01 06:59:00+00:00,2023-11-03 10:25:00+00:00,2023-11-03 10:55:00+00:00,True
SEZHUK-231027-257045,CAUK000250,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,MITCHELSTOWN,53.293393,-1.074008,52.276579,-8.258109,2023-11-01 04:00:00+00:00,2023-11-01 04:59:00+00:00,2023-11-03 10:25:00+00:00,2023-11-03 10:55:00+00:00,True
SEZHUK-231027-257051,CAUK001004,Tractor Unit,Curtain-Side 13.6M Trailer,B24 8DW,NN6 7GX,52.507428,-1.834192,52.358623,-1.166133,2023-10-29 06:30:00+00:00,2023-10-29 07:00:00+00:00,2023-10-29 09:30:00+00:00,2023-10-29 10:00:00+00:00,True
SEZHUK-231027-257079,CAUK000310,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,MK42 6EY,53.462845,-2.896967,52.093182,-0.475758,2023-10-31 13:00:00+00:00,2023-10-31 13:01:00+00:00,2023-10-31 20:25:00+00:00,2023-10-31 20:55:00+00:00,True
SEZHUK-231027-257085,CAUK000155,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,RM19 1ND,53.462845,-2.896967,51.480755,0.261461,2023-10-28 09:00:00+00:00,2023-10-28 09:01:00+00:00,2023-10-29 18:30:00+00:00,2023-10-29 19:00:00+00:00,True
SEZHUK-231027-257095,CAUK000250,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,NAAS,53.293393,-1.074008,53.207122,-6.742479,2023-11-02 06:00:00+00:00,2023-11-02 06:59:00+00:00,2023-11-06 07:25:00+00:00,2023-11-06 07:55:00+00:00,False
SEZHUK-231027-257100,CAUK001009,3.5T Van,LWB Van,DE74 2TR,WS9 0SW,52.829374,-1.332134,52.593326,-1.937572,2023-11-02 04:00:00+00:00,2023-11-02 05:00:00+00:00,2023-11-02 07:30:00+00:00,2023-11-02 10:30:00+00:00,True
SEZHUK-231027-257108,CAUK000689,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,SP4 7GQ,53.293393,-1.074008,51.17534,-1.753679,2023-10-30 13:00:00+00:00,2023-10-30 13:59:00+00:00,2023-10-31 06:55:00+00:00,2023-10-31 07:25:00+00:00,True
SEZHUK-231027-257111,CAUK000250,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,ASHBOURNE,53.293393,-1.074008,53.52341,-6.410445,2023-10-31 06:00:00+00:00,2023-10-31 06:59:00+00:00,2023-11-02 05:55:00+00:00,2023-11-02 06:25:00+00:00,True
SEZHUK-231027-257115,CAUK000250,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,BT36 7LQ,53.293393,-1.074008,54.664518,-5.932184,2023-10-31 06:00:00+00:00,2023-10-31 06:59:00+00:00,2023-11-02 08:25:00+00:00,2023-11-02 08:55:00+00:00,True
SEZHUK-231027-257146,CAUK000155,Tractor Unit,Box,BD12 7ER,RG19 4BQ,53.753295,-1.722689,51.398689,-1.232386,2023-10-30 19:00:00+00:00,2023-10-30 19:30:00+00:00,2023-10-31 02:00:00+00:00,2023-10-31 02:30:00+00:00,True
SEZHUK-231027-257147,CAUK000155,Tractor Unit,Box,BD12 7ER,RG19 4BQ,53.753295,-1.722689,51.398689,-1.232386,2023-10-31 19:00:00+00:00,2023-10-31 19:30:00+00:00,2023-11-01 02:00:00+00:00,2023-11-01 02:30:00+00:00,True
SEZHUK-231027-257149,CAUK000155,Tractor Unit,Box,BD12 7ER,RG19 4BQ,53.753295,-1.722689,51.398689,-1.232386,2023-11-02 19:00:00+00:00,2023-11-02 19:30:00+00:00,2023-11-03 02:00:00+00:00,2023-11-03 02:30:00+00:00,False
SEZHUK-231027-257150,CAUK000155,Tractor Unit,Box,BD12 7ER,RG19 4BQ,53.753295,-1.722689,51.398689,-1.232386,2023-11-03 19:00:00+00:00,2023-11-03 19:30:00+00:00,2023-11-04 02:00:00+00:00,2023-11-04 02:30:00+00:00,True
SEZHUK-231027-257153,CAUK000490,Tractor Unit,Box,BD12 7ER,CW1 6FB,53.753295,-1.722689,53.087056,-2.416485,2023-11-01 16:00:00+00:00,2023-11-01 16:30:00+00:00,2023-11-02 19:00:00+00:00,2023-11-02 19:30:00+00:00,True
SEZHUK-231027-257154,CAUK000490,Tractor Unit,Box,BD12 7ER,CW1 6FB,53.753295,-1.722689,53.087056,-2.416485,2023-11-02 16:00:00+00:00,2023-11-02 16:30:00+00:00,2023-11-03 19:00:00+00:00,2023-11-03 19:30:00+00:00,True
SEZHUK-231027-257155,CAUK000490,Tractor Unit,Box,BD12 7ER,CW1 6FB,53.753295,-1.722689,53.087056,-2.416485,2023-11-03 16:00:00+00:00,2023-11-03 16:30:00+00:00,2023-11-04 19:00:00+00:00,2023-11-04 19:30:00+00:00,True
SEZHUK-231027-257178,CAUK000155,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,DA17 6JY,53.462845,-2.896967,51.502211,0.154551,2023-10-30 11:00:00+00:00,2023-10-30 11:01:00+00:00,2023-10-31 09:55:00+00:00,2023-10-31 10:25:00+00:00,True
SEZHUK-231027-257188,CAUK000199,Tractor Unit,Curtain-Side 13.6M Trailer,LS11 5LX,LL13 9UE,53.767204,-1.547784,53.046804,-2.917933,2023-10-30 12:00:00+00:00,2023-10-30 12:30:00+00:00,2023-10-30 15:30:00+00:00,2023-10-30 16:00:00+00:00,False
SEZHUK-231027-257210,CAUK000435,Tractor Unit,Temperature-Controlled,PE15 0UW,RG21 6AB,52.51939,-0.000971,51.269448,-1.103727,2023-11-02 01:30:00+00:00,2023-11-02 02:30:00+00:00,2023-11-02 06:00:00+00:00,2023-11-02 18:00:00+00:00,True
SEZHUK-231027-257211,CAUK000435,Tractor Unit,Temperature-Controlled,PE15 0UW,RG21 6AB,52.51939,-0.000971,51.269448,-1.103727,2023-11-03 01:30:00+00:00,2023-11-03 02:30:00+00:00,2023-11-03 06:00:00+00:00,2023-11-03 18:00:00+00:00,True
SEZHUK-231027-257214,CAUK000781,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,DE72 2HP,53.462845,-2.896967,52.867015,-1.314862,2023-10-30 13:00:00+00:00,2023-10-30 13:01:00+00:00,2023-10-31 04:55:00+00:00,2023-10-31 05:25:00+00:00,True
SEZHUK-231027-257215,CAUK000155,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,ME9 8SR,53.462845,-2.896967,51.36932,0.749586,2023-10-30 13:00:00+00:00,2023-10-30 13:01:00+00:00,2023-10-31 05:55:00+00:00,2023-10-31 06:25:00+00:00,True
SEZHUK-231027-257222,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,NN17 4AZ,L33 7AP,52.507605,-0.693317,53.487931,-2.860516,2023-10-30 15:00:00+00:00,2023-10-30 15:30:00+00:00,2023-10-31 07:30:00+00:00,2023-10-31 08:00:00+00:00,False
SEZHUK-231027-257232,CAUK000310,Tractor Unit,Curtain-Side 13.6M Trailer,NN4 9BA,WF9 2RH,52.213462,-0.951036,53.601298,-1.266222,2023-10-31 05:00:00+00:00,2023-10-31 05:30:00+00:00,2023-10-31 10:30:00+00:00,2023-10-31 11:00:00+00:00,True
SEZHUK-231027-257237,CAUK000816,Tractor Unit,Curtain-Side 13.6M Trailer,DN11 9HE,NN4 9BF,53.437296,-1.068189,52.212328,-0.944564,2023-10-30 02:20:00+00:00,2023-10-30 03:29:00+00:00,2023-10-30 08:35:00+00:00,2023-10-30 09:05:00+00:00,True
SEZHUK-231027-257241,CAUK000222,Tractor Unit,Curtain-Side 13.6M Trailer,OL15 8QF,ST4 4FA,53.634051,-2.1142,52.983393,-2.181287,2023-10-30 10:00:00+00:00,2023-10-30 10:30:00+00:00,2023-10-30 16:30:00+00:00,2023-10-30 17:00:00+00:00,False
SEZHUK-231027-257248,CAUK000096,Tractor Unit,Curtain-Side 13.6M Trailer,WN4 8DE,LE19 1WY,53.501398,-2.64202,52.601991,-1.190434,2023-10-30 10:00:00+00:00,2023-10-30 10:30:00+00:00,2023-10-30 16:30:00+00:00,2023-10-30 17:00:00+00:00,False
SEZHUK-231027-257250,CAUK000034,Tractor Unit,Curtain-Side 13.6M Trailer,DN11 9HE,MK42 6EY,53.437296,-1.068189,52.093182,-0.475758,2023-10-30 04:50:00+00:00,2023-10-30 05:59:00+00:00,2023-10-30 10:55:00+00:00,2023-10-30 11:25:00+00:00,True
SEZHUK-231028-257406,CAUK000854,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,EH54 8QX,53.462845,-2.896967,55.896335,-3.53565,2023-10-30 11:00:00+00:00,2023-10-30 11:01:00+00:00,2023-10-30 17:00:00+00:00,2023-10-30 17:30:00+00:00,True
SEZHUK-231028-257408,CAUK000155,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,RM19 1ND,53.462845,-2.896967,51.480755,0.261461,2023-10-29 13:00:00+00:00,2023-10-29 13:01:00+00:00,2023-10-30 20:30:00+00:00,2023-10-30 21:00:00+00:00,True
SEZHUK-231028-257475,CAUK000435,Tractor Unit,Box 44ft,BD5 8LZ,EN3 7QP,53.763771,-1.739326,51.659325,-0.021793,2023-10-28 23:19:00+00:00,2023-10-29 01:00:01+00:00,2023-10-29 06:00:00+00:00,2023-10-29 08:55:01+00:00,True
SEZHUK-231029-257488,CAUK000192,26T Rigid,Curtain Side,LS10 1SL,M17 1NH,53.771668,-1.514934,53.474607,-2.319793,2023-10-30 13:00:00+00:00,2023-10-30 13:30:00+00:00,2023-10-30 15:00:00+00:00,2023-10-30 16:00:00+00:00,True
SEZHUK-231029-257555,CAUK000766,Tractor Unit,Box 44ft,BD5 8LZ,HP2 7PZ,53.763771,-1.739326,51.771841,-0.439918,2023-10-31 22:19:00+00:00,2023-11-01 01:00:01+00:00,2023-11-01 05:51:00+00:00,2023-11-01 08:46:01+00:00,True
SEZHUK-231029-257559,CAUK000814,Tractor Unit,Box 44ft,BD5 8LZ,HP2 7PZ,53.763771,-1.739326,51.771841,-0.439918,2023-11-01 22:19:00+00:00,2023-11-02 00:01:01+00:00,2023-11-02 05:00:00+00:00,2023-11-02 07:56:01+00:00,True
SEZHUK-231029-257560,CAUK000295,Tractor Unit,Box 44ft,BD5 8LZ,HP2 7PZ,53.763771,-1.739326,51.771841,-0.439918,2023-11-01 14:20:00+00:00,2023-11-01 16:00:01+00:00,2023-11-02 05:00:00+00:00,2023-11-02 07:56:01+00:00,True
SEZHUK-231029-257565,CAUK000295,Tractor Unit,Box 44ft,BD5 8LZ,HP2 7PZ,53.763771,-1.739326,51.771841,-0.439918,2023-11-02 14:20:00+00:00,2023-11-02 16:00:01+00:00,2023-11-03 05:00:00+00:00,2023-11-03 07:56:01+00:00,False
SEZHUK-231029-257576,CAUK000435,Tractor Unit,Box 44ft,BD5 8LZ,EN3 7QP,53.763771,-1.739326,51.659325,-0.021793,2023-10-31 22:19:00+00:00,2023-11-01 01:00:01+00:00,2023-11-01 06:00:00+00:00,2023-11-01 08:55:01+00:00,False
SEZHUK-231029-257579,CAUK000435,Tractor Unit,Box 44ft,BD5 8LZ,EN3 7QP,53.763771,-1.739326,51.659325,-0.021793,2023-10-30 22:19:00+00:00,2023-10-31 01:00:01+00:00,2023-10-31 06:00:00+00:00,2023-10-31 08:55:01+00:00,True
SEZHUK-231029-257580,CAUK000766,Tractor Unit,Box 44ft,BD5 8LZ,HP2 7PZ,53.763771,-1.739326,51.771841,-0.439918,2023-11-03 22:19:00+00:00,2023-11-04 01:00:01+00:00,2023-11-04 05:51:00+00:00,2023-11-04 08:46:01+00:00,False
SEZHUK-231029-257583,CAUK000435,Tractor Unit,Box 44ft,BD5 8LZ,EN3 7QP,53.763771,-1.739326,51.659325,-0.021793,2023-11-02 22:19:00+00:00,2023-11-03 01:00:01+00:00,2023-11-03 06:00:00+00:00,2023-11-03 08:55:01+00:00,True
SEZHUK-231029-257587,CAUK000863,Tractor Unit,Box 44ft,BD5 8LZ,HP2 7PZ,53.763771,-1.739326,51.771841,-0.439918,2023-10-31 12:20:00+00:00,2023-10-31 14:00:01+00:00,2023-11-01 05:00:00+00:00,2023-11-01 08:41:01+00:00,True
SEZHUK-231029-257591,CAUK000766,Tractor Unit,Box 44ft,BD5 8LZ,RG19 4BQ,53.763771,-1.739326,51.398851,-1.231993,2023-10-30 21:20:00+00:00,2023-10-30 23:00:01+00:00,2023-10-31 06:00:00+00:00,2023-10-31 08:56:01+00:00,True
SEZHUK-231029-257594,CAUK000814,Tractor Unit,Box 44ft,BD5 8LZ,RG19 4BQ,53.763771,-1.739326,51.398851,-1.231993,2023-10-31 18:20:00+00:00,2023-10-31 20:00:01+00:00,2023-11-01 06:00:00+00:00,2023-11-01 09:41:01+00:00,True
SEZHUK-231029-257600,CAUK000814,Tractor Unit,Box 44ft,BD5 8LZ,RG19 4BQ,53.763771,-1.739326,51.398851,-1.231993,2023-11-03 18:20:00+00:00,2023-11-03 20:00:01+00:00,2023-11-04 06:00:00+00:00,2023-11-04 09:41:01+00:00,True
SEZHUK-231029-257601,CAUK000766,Tractor Unit,Box 44ft,BD5 8LZ,RG19 4BQ,53.763771,-1.739326,51.398851,-1.231993,2023-11-03 21:20:00+00:00,2023-11-03 23:00:01+00:00,2023-11-04 06:00:00+00:00,2023-11-04 08:56:01+00:00,False
SEZHUK-231029-257614,CAUK000766,Tractor Unit,Box 44ft,BD5 8LZ,ME13 7TW,53.763771,-1.739326,51.328048,0.877608,2023-10-31 22:19:00+00:00,2023-11-01 00:01:01+00:00,2023-11-01 06:00:00+00:00,2023-11-01 08:56:01+00:00,False
SEZHUK-231029-257617,CAUK000766,Tractor Unit,Box 44ft,BD5 8LZ,ME13 7TW,53.763771,-1.739326,51.328048,0.877608,2023-11-01 22:19:00+00:00,2023-11-02 00:01:01+00:00,2023-11-02 06:00:00+00:00,2023-11-02 08:56:01+00:00,False
SEZHUK-231029-257642,CAUK000435,Tractor Unit,Box 44ft,BD5 8LZ,EN3 7QP,53.763771,-1.739326,51.659325,-0.021793,2023-11-01 22:19:00+00:00,2023-11-02 01:00:01+00:00,2023-11-02 06:00:00+00:00,2023-11-02 08:55:01+00:00,False
SEZHUK-231029-257643,CAUK000863,Tractor Unit,Box 44ft,BD5 8LZ,BS35 3UT,53.763771,-1.739326,51.602415,-2.522567,2023-11-01 12:20:00+00:00,2023-11-01 14:00:01+00:00,2023-11-02 06:00:00+00:00,2023-11-02 10:52:01+00:00,True
SEZHUK-231029-257647,CAUK000618,Tractor Unit,Box 44ft,BD5 8LZ,BS35 3UT,53.763771,-1.739326,51.602415,-2.522567,2023-11-04 01:20:00+00:00,2023-11-04 03:00:01+00:00,2023-11-04 08:15:00+00:00,2023-11-04 12:22:01+00:00,True
SEZHUK-231029-257653,CAUK000618,Tractor Unit,Box 44ft,BD5 8LZ,BS35 3UT,53.763771,-1.739326,51.602415,-2.522567,2023-10-31 01:20:00+00:00,2023-10-31 03:00:01+00:00,2023-10-31 08:15:00+00:00,2023-10-31 12:22:01+00:00,False
SEZHUK-231029-257655,CAUK000863,Tractor Unit,Box 44ft,BD5 8LZ,BS35 3UT,53.763771,-1.739326,51.602415,-2.522567,2023-11-03 01:20:00+00:00,2023-11-03 03:00:01+00:00,2023-11-03 08:15:00+00:00,2023-11-03 12:22:01+00:00,True
SEZHUK-231030-257662,CAUK000854,Tractor Unit,Curtain-Side 13.6M Trailer,DG16 5HT,SK4 1DR,55.003467,-3.042858,53.413337,-2.170565,2023-10-31 06:00:00+00:00,2023-10-31 15:00:00+00:00,2023-11-01 11:32:00+00:00,2023-11-01 12:00:00+00:00,True
SEZHUK-231030-257669,CAUK000689,Tractor Unit,Curtain-Side 13.6M Trailer,WA7 4HP,BS30 7DA,53.324964,-2.758291,51.444447,-2.497657,2023-10-31 07:00:00+00:00,2023-10-31 14:00:00+00:00,2023-11-01 10:32:00+00:00,2023-11-01 11:00:00+00:00,True
SEZHUK-231030-257708,CAUK000096,Tractor Unit,Curtain-Side 13.6M Trailer,RG24 8PD,NW10 6QY,51.279249,-1.072926,51.52668,-0.235678,2023-10-31 10:00:00+00:00,2023-10-31 10:30:00+00:00,2023-10-31 14:30:00+00:00,2023-10-31 15:00:00+00:00,False
SEZHUK-231030-257745,CAUK000124,Tractor Unit,Curtain-Side 13.6M Trailer,OX16 3ED,LE67 1UA,52.07404,-1.317257,52.701119,-1.339519,2023-10-31 13:00:00+00:00,2023-10-31 13:00:00+00:00,2023-11-01 11:00:00+00:00,2023-11-01 11:00:00+00:00,True
SEZHUK-231030-257757,CAUK000222,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,MK4 4BX,53.462845,-2.896967,51.992683,-0.784387,2023-10-31 21:00:00+00:00,2023-10-31 22:00:00+00:00,2023-11-01 10:55:00+00:00,2023-11-01 11:25:00+00:00,True
SEZHUK-231030-257759,CAUK000781,Tractor Unit,Curtain-Side 13.6M Trailer,L11 0JA,WV4 6UD,53.462845,-2.896967,52.560452,-2.099437,2023-11-01 11:00:00+00:00,2023-11-01 11:01:00+00:00,2023-11-01 16:55:00+00:00,2023-11-01 17:25:00+00:00,False
SEZHUK-231030-257771,CAUK000310,Tractor Unit,Tractor Only,ST16 3EF,CV8 3ED,52.806693,-2.12066,52.371656,-1.452312,2023-11-06 14:00:00+00:00,2023-11-06 15:00:00+00:00,2023-11-06 18:30:00+00:00,2023-11-06 19:30:00+00:00,True
SEZHUK-231030-257772,CAUK000310,Tractor Unit,Tractor Only,ST16 3EF,CV8 3ED,52.806693,-2.12066,52.371656,-1.452312,2023-11-07 14:00:00+00:00,2023-11-07 15:00:00+00:00,2023-11-07 18:30:00+00:00,2023-11-07 19:30:00+00:00,True
SEZHUK-231030-257775,CAUK000192,Tractor Unit,Curtain-Side 13.6M Trailer,LS10 1SL,DA14 5DF,53.771668,-1.514934,51.415995,0.118003,2023-10-31 08:00:00+00:00,2023-10-31 08:30:00+00:00,2023-10-31 15:30:00+00:00,2023-10-31 16:00:00+00:00,True
SEZHUK-231030-257778,CAUK000199,Tractor Unit,Curtain-Side 13.6M Trailer,LS10 1SL,BL5 3XU,53.771668,-1.514934,53.555966,-2.533663,2023-10-31 07:00:00+00:00,2023-10-31 07:30:00+00:00,2023-10-31 09:30:00+00:00,2023-10-31 10:00:00+00:00,False
SEZHUK-231030-257791,CAUK000222,Tractor Unit,Curtain-Side 13.6M Trailer,CF37 5TF,LE67 1UA,51.572559,-3.291144,52.701119,-1.339519,2023-10-30 12:00:00+00:00,2023-10-30 12:30:00+00:00,2023-10-31 08:00:00+00:00,2023-10-31 08:00:00+00:00,False
SEZHUK-231030-257797,CAUK000876,Tractor Unit,Curtain-Side 13.6M Trailer,LS24 9SD,BT26 6JJ,53.886427,-1.271051,54.474078,-6.104285,2023-10-31 11:00:00+00:00,2023-11-02 07:00:00+00:00,2023-11-03 07:30:00+00:00,2023-11-03 08:00:00+00:00,False
SEZHUK-231030-257800,CAUK000876,Tractor Unit,Curtain-Side 13.6M Trailer,BT26 6JJ,LS24 9SD,54.474078,-6.104285,53.886427,-1.271051,2023-11-02 08:00:00+00:00,2023-11-06 08:00:00+00:00,2023-11-06 08:30:00+00:00,2023-11-06 09:00:00+00:00,False
SEZHUK-231030-257810,CAUK000192,26T Rigid,Curtain Side,LS10 1SL,ST4 3PR,53.771668,-1.514934,52.988996,-2.205473,2023-10-31 06:00:00+00:00,2023-10-31 06:30:00+00:00,2023-10-31 09:00:00+00:00,2023-10-31 10:00:00+00:00,True
SEZHUK-231030-257828,CAUK000179,Tractor Unit,Curtain-Side 13.6M Trailer,PR7 7NA,EH54 8TB,53.686775,-2.672518,55.902675,-3.586822,2023-10-31 21:30:00+00:00,2023-10-31 22:00:00+00:00,2023-11-01 03:55:00+00:00,2023-11-01 04:25:00+00:00,False
SEZHUK-231030-257832,CAUK000689,Tractor Unit,Curtain-Side 13.6M Trailer,PE29 2XR,CF3 2GJ,52.315672,-0.157664,51.50328,-3.109119,2023-10-31 09:00:00+00:00,2023-10-31 10:00:00+00:00,2023-11-01 06:30:00+00:00,2023-11-01 07:00:00+00:00,False
SEZHUK-231030-257833,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,OX16 2AA,53.293393,-1.074008,52.081463,-1.329055,2023-11-01 05:00:00+00:00,2023-11-01 05:59:00+00:00,2023-11-01 10:25:00+00:00,2023-11-01 10:55:00+00:00,True
